Time (s),x (cm),y (cm),theta (deg),left velocity (),right velocity ()
773.95,0,0,89.9543738355393,0,0
773.97,0,0,89.9543738355393,0,0
773.99,0,0,89.9543738355393,0,0
774,0,0,89.9543738355393,0,0
774.02,0,0,89.9543738355393,0,0
774.04,0,0,89.9543738355393,0,0
774.05,0,0,89.9543738355393,0,0
774.07,0,0,89.9543738355393,0,0
774.09,0,0,89.9543738355393,0,0
774.1,0,0,89.9543738355393,0,0
774.12,0,0,89.9543738355393,0,0
774.14,0,0,89.9543738355393,0,0
774.15,0,0,89.9543738355393,0,0
774.17,0,0,89.9543738355393,0,0
774.19,0,0,89.9543738355393,0,0
774.2,0,0,89.9543738355393,0,0
774.22,0,0,89.9543738355393,0,0
774.24,0,0,89.9543738355393,0,0
774.25,0,0,89.9543738355393,0,0
774.27,0,0,89.9543738355393,0,0
774.29,0,0,89.9543738355393,0,0
774.3,0,0,89.9543738355393,0,0
774.32,0,0,89.9543738355393,0,0
774.34,0,0,89.9543738355393,0,0
774.35,0,0,89.9543738355393,0,0
774.37,0,0,89.9543738355393,0,0
774.39,0,0,89.9543738355393,0,0
774.4,0,0,89.9543738355393,0,0
774.42,0,0,89.9543738355393,0,0
774.44,0,0,89.9543738355393,0,0
774.45,0,0,89.9543738355393,0,0
774.47,0,0,89.9543738355393,0,0
774.49,0,0,89.9543738355393,0,0
774.5,0,0,89.9543738355393,0,0
774.52,0,0,89.9543738355393,0,0
774.54,0,0,89.9543738355393,0,0
774.55,0,0,89.9543738355393,0,0
774.57,0,0,89.9543738355393,0,0
774.59,0,0,89.9543738355393,0,0
774.6,0,0,89.9543738355393,0,0
774.62,0,0,89.9543738355393,0,0
774.64,0,0,89.9543738355393,0,0
774.65,0,0,89.9543738355393,0,0
774.67,0,0,89.9543738355393,0,0
774.69,0,0,89.9543738355393,0,0
774.7,0,0,89.9543738355393,0,0
774.72,0,0,89.9543738355393,0,0
774.74,0,0,89.9543738355393,0,0
774.75,0,0,89.9543738355393,0,0
774.77,0,0,89.9543738355393,0,0
774.79,0,0,89.9543738355393,0,0
774.8,0,0,89.9543738355393,0,0
774.82,0,0,89.9543738355393,0,0
774.84,0,0,89.9543738355393,0,0
774.85,0,0,89.9543738355393,0,0
774.87,0,0,89.9543738355393,0,0
774.89,0,0,89.9543738355393,0,0
774.9,0,0,89.9543738355393,0,0
774.92,0,0,89.9543738355393,0,0
774.94,0,0,89.9543738355393,0,0
774.95,0,0,89.9543738355393,0,0
774.97,0,0,89.9543738355393,0,0
774.99,0,0,89.9543738355393,0,0
775,0,0,89.9543738355393,0,0
775.02,0,0,89.9543738355393,0,0
775.04,0,0,89.9543738355393,0,0
775.05,0,0,89.9543738355393,0,0
775.07,0,0,89.9543738355393,0,0
