Objects
100
,,Global Angle qbii_test:qbii_test,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
88,0,0.003225,0.000204,-0.000038,-57.836803,132.593277,30.472080
89,0,0.003225,0.000153,-0.000071,-57.833836,132.591888,30.469862
90,0,0.003225,0.000134,-0.000089,-57.831196,132.591797,30.470436
91,0,0.003217,0.000419,0.000066,-57.845543,132.598495,30.479374
92,0,0.003235,0.000298,-0.000003,-57.837818,132.597931,30.476812
93,0,0.003251,0.000503,0.000117,-57.851418,132.602585,30.486115
94,0,0.003227,0.000326,0.000023,-57.842773,132.600708,30.478409
95,0,0.003209,0.000240,-0.000021,-57.836555,132.598724,30.476927
96,0,0.003241,0.000170,-0.000056,-57.832905,132.597321,30.474989
97,0,0.003215,0.000142,-0.000066,-57.829666,132.596420,30.475430
98,0,0.003234,0.000479,0.000072,-57.844566,132.602371,30.487104
99,0,0.003252,0.000369,0.000011,-57.838360,132.601761,30.483667
100,0,0.003253,0.000457,0.000123,-57.854439,132.601837,30.484657
101,0,0.003211,0.000323,0.000036,-57.843830,132.600143,30.484055
102,0,0.003196,0.000214,-0.000023,-57.837517,132.599152,30.480556
103,0,0.003222,0.000182,-0.000051,-57.833214,132.599701,30.480564
104,0,0.003171,0.000476,0.000093,-57.850040,132.605194,30.487497
105,0,0.003172,0.000329,0.000002,-57.841846,132.602676,30.482098
106,0,0.003195,0.000516,0.000083,-57.849991,132.603989,30.484041
107,0,0.003200,0.000322,0.000019,-57.843628,132.599747,30.475174
108,0,0.003203,0.000570,0.000144,-57.855652,132.602097,30.484850
109,0,0.003197,0.000691,0.000167,-57.859207,132.602188,30.490980
110,0,0.003208,0.000451,0.000071,-57.846432,132.597565,30.482788
111,0,0.003227,0.000597,0.000183,-57.858055,132.600388,30.489470
112,0,0.003212,0.000398,0.000047,-57.847290,132.598434,30.481813
113,0,0.003215,0.000234,-0.000002,-57.838516,132.597290,30.475716
114,0,0.003203,0.000566,0.000121,-57.850872,132.601334,30.487852
115,0,0.003206,0.000599,0.000166,-57.857498,132.604279,30.485464
116,0,0.003214,0.000328,0.000063,-57.845818,132.600861,30.474222
117,0,0.003204,0.000540,0.000170,-57.857296,132.603973,30.481789
118,0,0.003186,0.000320,0.000065,-57.847797,132.599197,30.473574
119,0,0.003175,0.000180,0.000002,-57.840122,132.596054,30.468418
120,0,0.003188,0.000139,-0.000045,-57.833469,132.595566,30.469067
121,0,0.003203,0.000079,-0.000063,-57.829567,132.593628,30.466738
122,0,0.003240,0.000044,-0.000091,-57.829887,132.594193,30.465435
123,0,0.003188,0.000358,0.000067,-57.846321,132.596527,30.476698
124,0,0.003211,0.000278,-0.000026,-57.839626,132.596680,30.473543
125,0,0.003204,0.000186,-0.000060,-57.836567,132.594299,30.470840
126,0,0.003239,0.000103,-0.000080,-57.832687,132.593430,30.467306
127,0,0.003224,0.000048,-0.000083,-57.830303,132.590790,30.465572
128,0,0.003206,0.000433,0.000061,-57.847977,132.597672,30.477581
129,0,0.003180,0.000275,0.000001,-57.838924,132.594421,30.474073
130,0,0.003188,0.000215,-0.000044,-57.832817,132.593002,30.470757
131,0,0.003212,0.000188,-0.000081,-57.831196,132.591858,30.469654
132,0,0.003218,0.000141,-0.000084,-57.828403,132.590515,30.469688
133,0,0.003222,0.000459,0.000054,-57.841385,132.594650,30.480982
134,0,0.003249,0.000290,-0.000017,-57.837334,132.592987,30.472773
135,0,0.003236,0.000588,0.000133,-57.851837,132.596909,30.483456
136,0,0.003237,0.000705,0.000195,-57.859127,132.599289,30.486588
137,0,0.003221,0.000780,0.000203,-57.861092,132.601654,30.489254
138,0,0.003252,0.000473,0.000084,-57.847366,132.600754,30.478132
139,0,0.003278,0.000296,0.000012,-57.839729,132.599319,30.472849
140,0,0.003232,0.000560,0.000152,-57.852169,132.599838,30.480749
141,0,0.003223,0.000342,0.000049,-57.841324,132.596603,30.474016
142,0,0.003245,0.000566,0.000151,-57.853783,132.601242,30.480772
143,0,0.003211,0.000567,0.000197,-57.859123,132.600082,30.478621
144,0,0.003241,0.000369,0.000068,-57.844650,132.598175,30.473173
145,0,0.003226,0.000209,-0.000002,-57.836277,132.596222,30.463848
146,0,0.003205,0.000168,-0.000044,-57.831783,132.594162,30.464329
147,0,0.003211,0.000149,-0.000091,-57.830475,132.597015,30.463017
148,0,0.003215,0.000431,0.000048,-57.842880,132.602051,30.473856
149,0,0.003201,0.000292,-0.000038,-57.834038,132.601639,30.470394
150,0,0.003203,0.000230,-0.000062,-57.831684,132.599579,30.466572
151,0,0.003180,0.000111,-0.000082,-57.828949,132.597504,30.462856
152,0,0.003188,0.000407,0.000046,-57.843918,132.600281,30.472757
153,0,0.003163,0.000682,0.000159,-57.856792,132.602631,30.482180
154,0,0.003187,0.000746,0.000230,-57.865189,132.606094,30.486116
155,0,0.003192,0.000483,0.000094,-57.849697,132.603195,30.481009
156,0,0.003191,0.000262,0.000027,-57.841389,132.599854,30.471998
157,0,0.003195,0.000189,-0.000017,-57.836224,132.597473,30.469889
158,0,0.003211,0.000126,-0.000063,-57.833397,132.597748,30.466270
159,0,0.003245,0.000095,-0.000100,-57.831482,132.597290,30.464037
160,0,0.003236,0.000412,0.000030,-57.845467,132.602509,30.477316
161,0,0.003249,0.000274,-0.000019,-57.837498,132.599609,30.473475
162,0,0.003244,0.000206,-0.000051,-57.833378,132.596573,30.471104
163,0,0.003214,0.000156,-0.000067,-57.829655,132.594498,30.470249
164,0,0.003211,0.000122,-0.000089,-57.828953,132.592712,30.470833
165,0,0.003223,0.000079,-0.000090,-57.828671,132.592606,30.469110
166,0,0.003237,0.000067,-0.000106,-57.828243,132.593704,30.468172
167,0,0.003214,0.000357,0.000058,-57.846096,132.598740,30.477674
168,0,0.003224,0.000558,0.000137,-57.854828,132.602051,30.483261
169,0,0.003229,0.000351,0.000034,-57.843216,132.599197,30.475657
170,0,0.003212,0.000579,0.000122,-57.851337,132.602493,30.484478
171,0,0.003223,0.000734,0.000179,-57.855736,132.604095,30.488226
172,0,0.003223,0.000428,0.000067,-57.843304,132.601135,30.474987
173,0,0.003208,0.000522,0.000125,-57.849201,132.603424,30.476351
174,0,0.003201,0.000341,0.000029,-57.838444,132.600739,30.473263
175,0,0.003221,0.000259,-0.000026,-57.832306,132.597916,30.472094
176,0,0.003199,0.000494,0.000069,-57.842705,132.601028,30.480886
177,0,0.003206,0.000299,-0.000001,-57.834305,132.598648,30.473177
178,0,0.003212,0.000244,-0.000053,-57.829216,132.597488,30.469585
179,0,0.003214,0.000516,0.000101,-57.843170,132.601044,30.475883
180,0,0.003206,0.000352,0.000032,-57.835033,132.597931,30.470707
181,0,0.003178,0.000611,0.000151,-57.849983,132.601501,30.476389
182,0,0.003179,0.000333,0.000044,-57.838676,132.599304,30.467882
183,0,0.003192,0.000215,-0.000022,-57.832092,132.597153,30.466011
