Time (s),x (cm),y (cm),theta (rad)
1654213178.338962,2.3142079953686334e-05,-3.9902530261315405e-05,-1.2167261347194949
1654213178.383193,2.3142079953686334e-05,-3.9902530261315405e-05,-1.2167253730885805
1654213178.427734,2.3142079953686334e-05,-3.9902530261315405e-05,-1.2167248455411035
1654213178.47216,2.3142079953686334e-05,-3.9902530261315405e-05,-1.2167280195763925
1654213178.515584,2.3142079953686334e-05,-3.9902530261315405e-05,-1.2167326487423433
1654213178.515956,2.3142079953686334e-05,-3.9902530261315405e-05,-1.2166203783395573
1654213178.560446,2.3142079953686334e-05,-3.9902530261315405e-05,-1.2166737203201583
1654213178.593256,2.3142079953686334e-05,-3.9902530261315405e-05,-1.216742668705172
1654213178.639653,2.3142079953686334e-05,-3.9902530261315405e-05,-1.2167461746454673
1654213178.683177,2.3142079953686334e-05,-3.9902530261315405e-05,-1.216747629776274
1654213178.729731,2.3142079953686334e-05,-3.9902530261315405e-05,-1.2167515654427106
1654213178.775628,2.3142079953686334e-05,-3.9902530261315405e-05,-1.2167541437987373
1654213178.819451,2.3142079953686334e-05,-3.9902530261315405e-05,-1.2167484892283242
1654213178.894551,2.3142079953686334e-05,-3.9902530261315405e-05,-1.2167569562400748
1654213178.966185,2.3142079953686334e-05,-3.9902530261315405e-05,-1.2167570540603392
1654213178.966268,2.3142079953686334e-05,-3.9902530261315405e-05,-1.2167545735247285
1654213178.96633,3.191707583027892e-05,-6.364342698361725e-05,-1.2167553351563816
1654213178.993563,3.191707583027892e-05,-6.364342698361725e-05,-1.216745744919431
1654213179.026442,2.3141905330703594e-05,-3.9902592106955126e-05,-1.216749416812585
1654213179.095934,2.3141905330703594e-05,-3.9902592106955126e-05,-1.2167520929891562
1654213179.096398,3.191712312400341e-05,-6.364341243170202e-05,-1.2167393287175687
1654213179.150609,2.3141905330703594e-05,-3.990259574493393e-05,-1.2167519951687245
1654213179.150963,2.3141905330703594e-05,-3.990259574493393e-05,-1.2167531183939404
1654213179.197962,2.3141905330703594e-05,-3.990259574493393e-05,-1.2167564583815031
1654213179.216089,2.3141905330703594e-05,-3.990259574493393e-05,-1.2167549054303828
1654213179.271693,2.3141905330703594e-05,-3.990259574493393e-05,-1.2167506378583839
1654213179.316785,2.3141905330703594e-05,-3.990259574493393e-05,-1.216748225455032
1654213179.316859,2.3141905330703594e-05,-3.990259574493393e-05,-1.2167441238359527
1654213179.366787,2.3141905330703594e-05,-3.990259574493393e-05,-1.2167309298379574
1654213179.375555,2.3141905330703594e-05,-3.990259574493393e-05,-1.2167376098133031
1654213179.422444,2.3141905330703594e-05,-3.990259574493393e-05,-1.216736682229543
1654213179.474682,2.3141905330703594e-05,-3.990259574493393e-05,-1.216726828219323
1654213179.518811,3.191751238773577e-05,-6.364326691254973e-05,-1.2167315255165434
1654213179.564911,2.314197445230093e-05,-3.9902566641103476e-05,-1.2167328146948442
1654213179.565278,2.314197445230093e-05,-3.9902566641103476e-05,-1.2167263006719014
1654213179.607119,3.191754876752384e-05,-6.36432523606345e-05,-1.21673496332527
1654213179.610221,1.436666843801504e-05,-1.6161782696144655e-05,-1.2167374438607312
1654213179.655237,2.3142069039749913e-05,-3.990253389929421e-05,-1.2167383033128603
1654213179.727011,3.19174250762444e-05,-6.36433032923378e-05,-1.2167412135743965
1654213179.778702,2.314184712304268e-05,-3.9902617572806776e-05,-1.2167197185179641
1654213179.779062,2.314184712304268e-05,-3.9902617572806776e-05,-1.2167364184560314
1654213179.829077,2.314184712304268e-05,-3.9902617572806776e-05,-1.2167394946701684
1654213179.829173,2.314184712304268e-05,-3.9902617572806776e-05,-1.2167282833500708
1654213179.887036,2.314184712304268e-05,-3.9902617572806776e-05,-1.2167353930513438
1654213179.899563,3.191723953932524e-05,-6.364336877595633e-05,-1.2167412135743965
1654213179.955591,2.3141859855968505e-05,-3.990261029684916e-05,-1.2167364184560314
1654213180.000584,2.3141859855968505e-05,-3.990261029684916e-05,-1.216738733038919
1654213180.047576,2.3141859855968505e-05,-3.990261029684916e-05,-1.216740783848345
1654213180.047993,2.3141859855968505e-05,-3.990261029684916e-05,-1.2167227266008889
1654213180.104947,2.3141859855968505e-05,-3.990261029684916e-05,-1.2167386352180316
1654213180.114886,2.3141859855968505e-05,-3.990261029684916e-05,-1.2167345335991921
1654213180.169319,2.3141859855968505e-05,-3.990261029684916e-05,-1.2167201482441075
1654213180.169699,3.19175778713543e-05,-6.364324508467689e-05,-1.2167288790286153
1654213180.215109,2.3142018108046614e-05,-3.9902555727167055e-05,-1.2167335081945136
1654213180.225944,2.3142018108046614e-05,-3.9902555727167055e-05,-1.2167369163137134
1654213180.271435,2.3142018108046614e-05,-3.9902555727167055e-05,-1.216729142802275
1654213180.316022,3.191783252987079e-05,-6.364315049722791e-05,-1.216711749364151
1654213180.361298,2.3141936253523454e-05,-3.990258483099751e-05,-1.2167223650056687
1654213180.407675,2.3141936253523454e-05,-3.990258483099751e-05,-1.216728547123739
1654213180.408045,2.3141936253523454e-05,-3.990258483099751e-05,-1.2166976277831432
1654213180.452472,2.3141936253523454e-05,-3.990258483099751e-05,-1.2167203141964218
1654213180.480446,3.1917592423269525e-05,-6.364323780871928e-05,-1.216734103873111
1654213180.523387,2.3141952624428086e-05,-3.99025775550399e-05,-1.2167216033748463
1654213180.568206,2.3141952624428086e-05,-3.99025775550399e-05,-1.216720577970247
1654213180.568582,2.3141952624428086e-05,-3.99025775550399e-05,-1.2167195525656607
1654213180.611338,2.3141952624428086e-05,-3.99025775550399e-05,-1.2167249433624614
1654213180.645195,3.19176833727397e-05,-6.36432014289312e-05,-1.2167229606841676
1654213180.693083,2.314172343176324e-05,-3.9902657590573654e-05,-1.21670566506708
1654213180.740206,2.314172343176324e-05,-3.9902657590573654e-05,-1.2167255390409717
1654213180.783756,2.314172343176324e-05,-3.9902657590573654e-05,-1.2167321211951418
1654213180.784124,2.314172343176324e-05,-3.9902657590573654e-05,-1.2167075499240507
1654213180.827925,2.314172343176324e-05,-3.9902657590573654e-05,-1.216726828219323
1654213180.850793,2.314172343176324e-05,-3.9902657590573654e-05,-1.2167355590038833
1654213180.898789,2.314172343176324e-05,-3.9902657590573654e-05,-1.2167380395393752
1654213180.943579,3.191714495187625e-05,-6.364339787978679e-05,-1.2167361546825093
1654213180.988385,2.3141707060858607e-05,-3.990266122855246e-05,-1.216736682229543
1654213180.988757,2.3141707060858607e-05,-3.990266122855246e-05,-1.2167176677087956
1654213181.031328,2.3141707060858607e-05,-3.990266122855246e-05,-1.2167188590656661
1654213181.053692,2.3141707060858607e-05,-3.990266122855246e-05,-1.2167252071361943
1654213181.102796,2.3141707060858607e-05,-3.990266122855246e-05,-1.2167227947318102
1654213181.147117,3.191738505847752e-05,-6.364331056829542e-05,-1.2167296406596286
1654213181.19136,2.314177072548773e-05,-3.990263940067962e-05,-1.2167281855288268
1654213181.191731,2.314177072548773e-05,-3.990263940067962e-05,-1.2167191228395189
1654213181.235048,3.1917490559862927e-05,-6.364326691254973e-05,-1.2167296406596286
1654213181.259921,2.3141958081396297e-05,-3.9902566641103476e-05,-1.2167351292778037
1654213181.305464,2.3141958081396297e-05,-3.9902566641103476e-05,-1.216741115753593
1654213181.350916,3.1917366868583485e-05,-6.364331056829542e-05,-1.216734103873111
1654213181.397383,2.3141854399000295e-05,-3.990260302089155e-05,-1.2167322190162524
1654213181.397487,2.3141854399000295e-05,-3.990260302089155e-05,-1.2167382054919578
1654213181.442309,2.3141854399000295e-05,-3.990260302089155e-05,-1.2167364184560314
1654213181.463031,3.191734504071064e-05,-6.364331784425303e-05,-1.216731789290158
1654213181.507284,2.3141716155805625e-05,-3.9902653952594846e-05,-1.2167247774100811
1654213181.551273,2.3141716155805625e-05,-3.9902653952594846e-05,-1.2167216033748463
1654213181.551378,2.3141716155805625e-05,-3.9902653952594846e-05,-1.2167182633872249
1654213181.596552,3.191753785358742e-05,-6.364324508467689e-05,-1.2167218671486435
1654213181.639339,2.314175981155131e-05,-3.990263576270081e-05,-1.2167221990533221
1654213181.689035,3.1917516025714576e-05,-6.36432523606345e-05,-1.216723654184082
1654213181.73591,2.3141696146922186e-05,-3.9902657590573654e-05,-1.2167168082564905
1654213181.779726,2.3141696146922186e-05,-3.9902657590573654e-05,-1.216716280708682
1654213181.780092,2.3141696146922186e-05,-3.9902657590573654e-05,-1.2167108899117702
1654213181.823475,2.3141696146922186e-05,-3.9902657590573654e-05,-1.2167253730885805
1654213181.845869,2.3141696146922186e-05,-3.9902657590573654e-05,-1.2167282833500708
1654213181.908734,2.3141696146922186e-05,-3.9902657590573654e-05,-1.2167126088165165
1654213181.951309,2.3141696146922186e-05,-3.9902657590573654e-05,-1.216720480148741
1654213181.951682,3.1917705200612545e-05,-6.364317960105836e-05,-1.2167040439842474
1654213181.995671,3.1917705200612545e-05,-6.364317960105836e-05,-1.2167157828519213
1654213182.011554,2.3141823476180434e-05,-3.9902606658870354e-05,-1.2167195525656607
1654213182.056311,2.3141823476180434e-05,-3.9902606658870354e-05,-1.2166988191396004
1654213182.09956,2.3141823476180434e-05,-3.9902606658870354e-05,-1.21671141745978
1654213182.145889,2.3141823476180434e-05,-3.9902606658870354e-05,-1.2167190250179634
1654213182.146259,2.3141823476180434e-05,-3.9902606658870354e-05,-1.216718097434943
1654213182.193141,2.3141823476180434e-05,-3.9902606658870354e-05,-1.2167192887918168
1654213182.195077,2.3141823476180434e-05,-3.9902606658870354e-05,-1.2167098645072094
1654213182.240954,3.1917781598167494e-05,-6.364315049722791e-05,-1.2167190250179634
1654213182.287169,2.3141968995332718e-05,-3.990255208918825e-05,-1.2167221990533221
1654213182.331572,2.3141968995332718e-05,-3.990255208918825e-05,-1.2167123450425337
