Objects
100
,,Global Angle QBii:QBii,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
87,0,0.023170,0.005496,0.003897,-995.182495,-99.095970,167.124008
88,0,0.023148,0.005552,0.003828,-995.189392,-99.099434,167.129425
89,0,0.023108,0.005494,0.003857,-995.184998,-99.097183,167.130219
90,0,0.023204,0.005531,0.003878,-995.180664,-99.092369,167.127762
91,0,0.023219,0.005581,0.003828,-995.182373,-99.095787,167.121826
92,0,0.023205,0.005529,0.003829,-995.180847,-99.098709,167.122055
93,0,0.023171,0.005539,0.003854,-995.181580,-99.098717,167.123840
94,0,0.023106,0.005561,0.003780,-995.185852,-99.094917,167.128510
95,0,0.023144,0.005534,0.003849,-995.181763,-99.100670,167.122009
96,0,0.023233,0.005533,0.003797,-995.184021,-99.103653,167.118378
97,0,0.023189,0.005568,0.003852,-995.185608,-99.105209,167.121002
98,0,0.023262,0.005559,0.003836,-995.184143,-99.103027,167.118408
99,0,0.023200,0.005532,0.003849,-995.183289,-99.101295,167.123642
100,0,0.023172,0.005484,0.003859,-995.182007,-99.104797,167.125793
101,0,0.023182,0.005514,0.003877,-995.182434,-99.103775,167.123016
102,0,0.023224,0.005488,0.003874,-995.185730,-99.102821,167.122223
103,0,0.023272,0.005508,0.003871,-995.184143,-99.098572,167.119568
104,0,0.023281,0.005481,0.003846,-995.188049,-99.099892,167.119385
105,0,0.023161,0.005529,0.003872,-995.187500,-99.105522,167.124496
106,0,0.023200,0.005514,0.003853,-995.185608,-99.104874,167.118744
107,0,0.023146,0.005524,0.003876,-995.186157,-99.099030,167.125366
108,0,0.023141,0.005554,0.003768,-995.194458,-99.099663,167.125412
109,0,0.023201,0.005519,0.003835,-995.179810,-99.096199,167.122894
110,0,0.023127,0.005501,0.003821,-995.189575,-99.099411,167.131104
111,0,0.023166,0.005499,0.003855,-995.187988,-99.099724,167.125397
112,0,0.023252,0.005580,0.003858,-995.188477,-99.100929,167.116928
113,0,0.023221,0.005493,0.003852,-995.184753,-99.100296,167.124893
114,0,0.023203,0.005549,0.003825,-995.187073,-99.095978,167.128250
115,0,0.023171,0.005496,0.003865,-995.185547,-99.100182,167.127579
116,0,0.023237,0.005515,0.003866,-995.187988,-99.098000,167.123016
117,0,0.023153,0.005514,0.003857,-995.187439,-99.093788,167.126404
118,0,0.023106,0.005508,0.003856,-995.188477,-99.095612,167.131744
119,0,0.023252,0.005493,0.003865,-995.188354,-99.096420,167.119263
120,0,0.023184,0.005509,0.003883,-995.182861,-99.093498,167.131577
121,0,0.023157,0.005608,0.003818,-995.187866,-99.094017,167.131271
122,0,0.023176,0.005492,0.003852,-995.184570,-99.091644,167.127335
123,0,0.023158,0.005486,0.003867,-995.186584,-99.086754,167.125290
124,0,0.023222,0.005515,0.003871,-995.184021,-99.092140,167.118576
125,0,0.023245,0.005511,0.003822,-995.184570,-99.086685,167.124115
126,0,0.023285,0.005577,0.003843,-995.187134,-99.086967,167.126877
127,0,0.023239,0.005489,0.003859,-995.187134,-99.084694,167.127899
128,0,0.023228,0.005545,0.003837,-995.187927,-99.087082,167.124893
129,0,0.023226,0.005571,0.003881,-995.185181,-99.094841,167.123611
130,0,0.023161,0.005564,0.003848,-995.185608,-99.087135,167.124069
131,0,0.023317,0.005544,0.003897,-995.181274,-99.083275,167.119339
132,0,0.023289,0.005538,0.003831,-995.189697,-99.089882,167.127106
133,0,0.023209,0.005447,0.003883,-995.181763,-99.087547,167.132782
134,0,0.023215,0.005491,0.003852,-995.183960,-99.079338,167.127411
135,0,0.023263,0.005520,0.003864,-995.187378,-99.082558,167.121292
136,0,0.023182,0.005446,0.003829,-995.190918,-99.084923,167.126190
137,0,0.023229,0.005557,0.003835,-995.186584,-99.082939,167.122894
138,0,0.023180,0.005543,0.003879,-995.186462,-99.080757,167.127426
139,0,0.023169,0.005516,0.003899,-995.184387,-99.083977,167.123642
140,0,0.023160,0.005503,0.003904,-995.183655,-99.083160,167.123215
141,0,0.023280,0.005517,0.003851,-995.188232,-99.086983,167.121918
142,0,0.023183,0.005532,0.003829,-995.185791,-99.083046,167.127243
143,0,0.023120,0.005480,0.003805,-995.186768,-99.086655,167.130859
144,0,0.023138,0.005512,0.003824,-995.187073,-99.086266,167.128723
145,0,0.023241,0.005463,0.003845,-995.182983,-99.084595,167.119049
146,0,0.023184,0.005511,0.003815,-995.189514,-99.094299,167.123184
147,0,0.023228,0.005537,0.003830,-995.185791,-99.091087,167.120911
148,0,0.023275,0.005520,0.003819,-995.183472,-99.083740,167.118652
149,0,0.023136,0.005537,0.003865,-995.182068,-99.092056,167.129837
150,0,0.023216,0.005550,0.003876,-995.182007,-99.089310,167.120926
151,0,0.023124,0.005574,0.003847,-995.186890,-99.091545,167.125977
152,0,0.023163,0.005607,0.003835,-995.187256,-99.089821,167.122330
153,0,0.023289,0.005544,0.003730,-995.194153,-99.089081,167.119385
154,0,0.023427,0.006325,0.002855,-995.207092,-99.034874,167.142776
155,0,0.023291,0.006547,0.003727,-995.208862,-99.089058,167.137100
156,0,0.023325,0.006561,0.003777,-995.208069,-99.089287,167.131744
157,0,0.023701,0.006484,0.004084,-995.171021,-99.073532,167.097443
158,0,0.022289,0.006485,0.003333,-995.258179,-99.088425,167.213943
159,0,0.022331,0.006404,0.003353,-995.273743,-99.082077,167.236343
160,0,0.022294,0.006397,0.003382,-995.268311,-99.081276,167.245438
161,0,0.022347,0.006525,0.002601,-995.273865,-99.030350,167.259933
162,0,0.023492,0.006285,0.003824,-995.262451,-99.069145,167.201675
163,0,0.023622,0.006261,0.003574,-995.270142,-99.059868,167.188934
164,0,0.023410,0.006906,0.004200,-995.199890,-99.010376,167.223083
165,0,0.022854,0.006176,0.003774,-995.284485,-99.049606,167.293961
166,0,0.023080,0.006083,0.003836,-995.278687,-99.035515,167.302689
167,0,0.023786,0.005737,0.003979,-995.285950,-99.026184,167.292130
168,0,0.023830,0.005728,0.003917,-995.295288,-99.026817,167.290665
169,0,0.023804,0.005712,0.003945,-995.293213,-99.031479,167.288010
170,0,0.023806,0.005754,0.003907,-995.296936,-99.029663,167.285461
171,0,0.023733,0.005767,0.003962,-995.291382,-99.029610,167.294281
172,0,0.023820,0.005773,0.003868,-995.295105,-99.035919,167.284592
173,0,0.022923,0.006159,0.003391,-995.277283,-99.003098,167.320404
174,0,0.023834,0.006182,0.004148,-995.253296,-99.009933,167.273788
175,0,0.023761,0.005749,0.003969,-995.292297,-99.034004,167.287750
176,0,0.023746,0.005756,0.003914,-995.292542,-99.032593,167.290543
177,0,0.023742,0.005820,0.003940,-995.294128,-99.028687,167.289886
178,0,0.023706,0.005756,0.003951,-995.289185,-99.030411,167.295578
179,0,0.023784,0.005767,0.003953,-995.290649,-99.029175,167.290802
180,0,0.023773,0.005779,0.003910,-995.289001,-99.025681,167.287720
181,0,0.023769,0.005710,0.003944,-995.284668,-99.024284,167.288437
182,0,0.023694,0.005750,0.003978,-995.285461,-99.028183,167.291397
183,0,0.023698,0.005804,0.003985,-995.284668,-99.031715,167.297150
184,0,0.023794,0.005767,0.003934,-995.291382,-99.033684,167.288376
185,0,0.023658,0.005772,0.003905,-995.294861,-99.037636,167.297501
186,0,0.023749,0.005776,0.003939,-995.288269,-99.035133,167.287552
187,0,0.023766,0.005789,0.003998,-995.289917,-99.029404,167.282837
188,0,0.023785,0.005781,0.003994,-995.285645,-99.028648,167.285141
