Objects
100
,,Global Angle QBii:QBii,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
90,0,0.004713,0.018668,0.003170,843.522217,-107.538727,154.124100
91,0,0.004765,0.018568,0.003165,843.525208,-107.536179,154.116592
92,0,0.004733,0.018677,0.003212,843.528870,-107.540863,154.116516
93,0,0.004735,0.018708,0.003162,843.523743,-107.538971,154.123337
94,0,0.004807,0.018626,0.003174,843.518250,-107.535576,154.121475
95,0,0.004825,0.018727,0.003135,843.516602,-107.537209,154.111832
96,0,0.004779,0.018644,0.003171,843.523621,-107.537231,154.116623
97,0,0.004746,0.018677,0.003179,843.525085,-107.539818,154.117264
98,0,0.004713,0.018713,0.003185,843.527161,-107.541222,154.121765
99,0,0.004748,0.018663,0.003174,843.522400,-107.538872,154.120331
100,0,0.004783,0.018651,0.003170,843.526855,-107.536743,154.113754
101,0,0.004818,0.018675,0.003145,843.521301,-107.540771,154.113113
102,0,0.004768,0.018676,0.003151,843.525940,-107.541550,154.116577
103,0,0.004783,0.018659,0.003180,843.526550,-107.538048,154.116180
104,0,0.004783,0.018664,0.003206,843.524719,-107.539864,154.123734
105,0,0.004742,0.018649,0.003194,843.527710,-107.536354,154.118988
106,0,0.004811,0.018692,0.003185,843.527222,-107.538101,154.109741
107,0,0.004767,0.018714,0.003163,843.529785,-107.540245,154.112457
108,0,0.004802,0.018654,0.003166,843.525146,-107.543274,154.115814
109,0,0.004690,0.018707,0.003196,843.527466,-107.540802,154.123550
110,0,0.004737,0.018667,0.003196,843.529968,-107.540977,154.115356
111,0,0.004772,0.018614,0.003162,843.527161,-107.541832,154.114883
112,0,0.004765,0.018638,0.003133,843.521790,-107.541878,154.113342
113,0,0.004779,0.018631,0.003157,843.526184,-107.542709,154.116669
114,0,0.004797,0.018678,0.003137,843.524109,-107.543808,154.111954
115,0,0.004782,0.018668,0.003187,843.529907,-107.544052,154.110397
116,0,0.004822,0.018642,0.003159,843.525330,-107.544746,154.109604
117,0,0.004761,0.018670,0.003176,843.525391,-107.543625,154.118912
118,0,0.004745,0.018662,0.003159,843.524170,-107.544952,154.121109
119,0,0.004771,0.018684,0.003158,843.523987,-107.546173,154.116821
120,0,0.004263,0.018752,0.003245,843.516235,-107.570175,154.111267
121,0,0.004244,0.018767,0.003251,843.515503,-107.569740,154.107727
122,0,0.004336,0.018743,0.003256,843.521057,-107.565575,154.104233
123,0,0.004244,0.018780,0.003240,843.516602,-107.567612,154.114975
124,0,0.004215,0.018767,0.003226,843.514832,-107.567894,154.121826
125,0,0.004741,0.018690,0.003122,843.522400,-107.543678,154.113419
126,0,0.004840,0.018646,0.003181,843.522644,-107.548828,154.107040
127,0,0.004854,0.018665,0.003189,843.524658,-107.548172,154.105850
128,0,0.004757,0.018663,0.003155,843.522827,-107.541489,154.116760
129,0,0.004806,0.018616,0.003197,843.524597,-107.540840,154.113052
130,0,0.004736,0.018711,0.003212,843.527527,-107.543427,154.117432
131,0,0.004732,0.018702,0.003194,843.528076,-107.545364,154.115112
132,0,0.004733,0.018667,0.003163,843.523987,-107.541222,154.115234
133,0,0.004733,0.018703,0.003203,843.527039,-107.538902,154.116318
134,0,0.004842,0.018646,0.003189,843.526917,-107.543365,154.113647
135,0,0.004732,0.018650,0.003160,843.523987,-107.540909,154.118759
136,0,0.004731,0.018686,0.003213,843.524597,-107.538902,154.116318
137,0,0.004707,0.018684,0.003146,843.520935,-107.544617,154.118637
138,0,0.004758,0.018656,0.003189,843.525574,-107.541809,154.115723
139,0,0.004708,0.018642,0.003143,843.521362,-107.543427,154.116837
140,0,0.004775,0.018696,0.003227,843.527893,-107.541534,154.112915
141,0,0.004753,0.018672,0.003192,843.525024,-107.540627,154.114182
142,0,0.004794,0.018640,0.003171,843.521362,-107.539810,154.112335
143,0,0.004715,0.018644,0.003171,843.518982,-107.543373,154.116837
144,0,0.004754,0.018623,0.003211,843.527954,-107.541946,154.116928
145,0,0.004753,0.018746,0.003173,843.522278,-107.541893,154.113297
146,0,0.004775,0.018679,0.003193,843.525085,-107.543121,154.114136
147,0,0.004769,0.018670,0.003175,843.525146,-107.541199,154.116409
148,0,0.004820,0.018734,0.003160,843.523438,-107.543221,154.109741
149,0,0.004762,0.018626,0.003153,843.523193,-107.541702,154.110565
150,0,0.004748,0.018659,0.003149,843.526367,-107.542053,154.108521
151,0,0.004793,0.018689,0.003139,843.526123,-107.542244,154.108917
152,0,0.004821,0.018641,0.003181,843.521973,-107.540657,154.114792
153,0,0.004758,0.018641,0.003143,843.521729,-107.546249,154.116562
154,0,0.004837,0.018684,0.003217,843.526611,-107.544289,154.107620
155,0,0.004829,0.018707,0.003127,843.526550,-107.546356,154.110703
156,0,0.004756,0.018780,0.003117,843.527344,-107.542610,154.110626
157,0,0.004790,0.018800,0.003162,843.531189,-107.539879,154.114304
158,0,0.004774,0.018662,0.003129,843.526001,-107.540222,154.117508
159,0,0.004388,0.022035,0.000720,843.307495,-107.425720,154.240646
160,0,0.004431,0.021654,0.000976,843.319519,-107.435677,154.227158
161,0,0.004353,0.021670,0.001074,843.329041,-107.432404,154.232773
162,0,0.004367,0.021613,0.001036,843.327148,-107.429901,154.232254
163,0,0.004436,0.021632,0.001010,843.332092,-107.426544,154.231567
164,0,0.004348,0.021659,0.001017,843.334534,-107.420815,154.243729
165,0,0.005040,0.021649,0.000863,843.318848,-107.440140,154.179214
166,0,0.004955,0.021726,0.000871,843.353333,-107.422600,154.192429
167,0,0.005010,0.021710,0.000802,843.313660,-107.449173,154.164215
168,0,0.004529,0.021711,0.001077,843.311279,-107.466606,154.181686
169,0,0.004571,0.021626,0.001178,843.320374,-107.460564,154.181076
170,0,0.004549,0.021515,0.001185,843.328430,-107.453209,154.184525
171,0,0.004532,0.022238,0.000919,843.299011,-107.487396,154.144180
172,0,0.004478,0.022218,0.000851,843.291565,-107.486259,154.151886
173,0,0.004510,0.022280,0.000881,843.295959,-107.486755,154.144913
174,0,0.004541,0.022199,0.000924,843.297974,-107.486977,154.145370
175,0,0.004414,0.022228,0.000926,843.293884,-107.487144,154.155533
176,0,0.004583,0.022273,0.000875,843.292053,-107.482193,154.147644
177,0,0.004508,0.022176,0.000867,843.290344,-107.488640,154.146011
178,0,0.004539,0.022195,0.000902,843.291748,-107.487930,154.142288
179,0,0.004682,0.020958,0.001519,843.307190,-107.515495,154.104462
180,0,0.004604,0.022101,0.000942,843.287598,-107.489578,154.137589
181,0,0.004544,0.022096,0.000948,843.286804,-107.490364,154.143829
182,0,0.004545,0.022137,0.000929,843.285339,-107.486244,154.145966
183,0,0.004557,0.022147,0.000874,843.283020,-107.490028,154.145279
184,0,0.004609,0.022144,0.000943,843.283203,-107.490051,154.138062
185,0,0.004644,0.022127,0.000944,843.285461,-107.489487,154.133759
186,0,0.004575,0.022089,0.000924,843.283752,-107.487206,154.140961
187,0,0.004549,0.022227,0.000919,843.292358,-107.485878,154.149872
188,0,0.004500,0.021778,0.001049,843.315369,-107.469543,154.170456
189,0,0.004115,0.021715,0.001118,843.327759,-107.445137,154.228470
190,0,0.004432,0.021654,0.000948,843.311646,-107.437019,154.225586
191,0,0.004418,0.021559,0.000989,843.312317,-107.439613,154.227264
